root                 INFO     Start working
WindowContent        DEBUG    setup_ui start
GLWindowProcessor    DEBUG    setup start
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
GLWindowProcessor    DEBUG    handle_mouse_move_event start
GLWindowProcessor    DEBUG    bindings: []
